Date,Open($),High($),Low($),Close ($),VWAP($),Change($),Change(%),Volume,Trade_Value,#Trades
"Dec 21, 2022 12:00 AM",132.98,136.81,132.75,135.45,135.302,3.15,2.381,85927993,11626215100,589174
"Dec 20, 2022 12:00 AM",131.39,133.25,129.89,132.3,131.835,-0.07,-0.053,77432819,10242882300,641372
"Dec 19, 2022 12:00 AM",135.11,135.2,131.32,132.37,132.434,-2.14,-1.591,79592614,10540292700,706078
"Dec 16, 2022 12:00 AM",136.685,137.65,133.73,134.51,134.946,-1.99,-1.458,160156900,21603668300,821724
"Dec 15, 2022 12:00 AM",141.11,141.8,136.025,136.5,137.566,-6.71,-4.685,98931907,13608294500,879633
"Dec 14, 2022 12:00 AM",145.35,146.655,141.16,143.21,144.165,-2.26,-1.554,82291182,11896922700,598208
"Dec 13, 2022 12:00 AM",149.5,149.969,144.24,145.47,146.497,0.98,0.678,93886161,13772608000,706795
"Dec 12, 2022 12:00 AM",142.7,144.5,141.06,144.49,143.09,2.33,1.639,70462654,10074811400,492877
"Dec 9, 2022 12:00 AM",142.34,145.57,140.9,142.16,143.219,-0.49,-0.343,76097011,10896800400,530434
"Dec 8, 2022 12:00 AM",142.36,143.52,141.1,142.65,142.51,1.71,1.213,62128338,8852875710,456457
"Dec 7, 2022 12:00 AM",142.19,143.37,140,140.94,141.135,-1.97,-1.378,69721094,9840694100,565738
"Dec 6, 2022 12:00 AM",147.075,147.3,141.92,142.91,143.746,-3.72,-2.537,64727186,9305757160,537644
"Dec 5, 2022 12:00 AM",147.77,150.92,145.77,146.63,147.627,-1.18,-0.798,68826442,10167544000,586965
"Dec 2, 2022 12:00 AM",145.96,148,145.65,147.81,146.897,-0.5,-0.337,65447446,9621532720,464837
"Dec 1, 2022 12:00 AM",148.21,149.13,146.61,148.31,148.055,0.28,0.189,71250416,10550264500,526487
"Nov 30, 2022 12:00 AM",141.395,148.72,140.55,148.03,145.166,6.86,4.859,111380880,16240811300,708118
"Nov 29, 2022 12:00 AM",144.29,144.81,140.355,141.17,142.005,-3.05,-2.115,83763803,11896537300,713690
"Nov 28, 2022 12:00 AM",145.14,146.64,143.38,144.22,144.756,-3.89,-2.626,69346522,10042619300,614495
"Nov 25, 2022 12:00 AM",148.305,148.88,147.12,148.11,148.114,-2.96,-1.959,35195860,5215842290,319761
